,property_type,tenure,built_year,num_beds,num_baths,size_sqft,total_num_units,lat,lng,subzone,planning_area,price
0,hdb,99-year leasehold,1988.0,3.0,2.0,1115,116.0,1.41439935,103.83719568172816,yishun south,yishun,514500.0
1,hdb,99-year leasehold,1992.0,4.0,2.0,1575,375.360850381067,1.3725968000000002,103.87562460126242,serangoon north,serangoon,995400.0
2,condo,freehold,2022.0,4.0,6.0,3070,56.0,1.2987726,103.895798,mountbatten,marine parade,8485000.0
3,condo,freehold,2023.0,3.0,2.0,958,638.0,1.3123637,103.80327091227252,farrer court,bukit timah,2626000.0
4,condo,99-year leasehold,2026.0,2.0,1.0,732,351.0,1.2739587,103.84363531310518,anson,downtown core,1764000.0
5,condo,freehold,2024.0,2.0,2.0,689,633.0,1.3393381,103.7638932,bukit batok south,bukit batok,1702000.0
6,condo,99-year leasehold,2026.0,3.0,2.0,1076,407.0,1.31064045,103.85214926006608,kampong java,kallang,2475900.0
7,bungalow,freehold,2005.1052631578948,5.0,6.0,11500,375.360850381067,1.3423402,103.784489,swiss club,bukit timah,15645000.0
8,condo,freehold,2014.0,1.0,1.0,700,32.0,1.3155347,103.825684432334,nassim,tanglin,1312500.0
9,condo,freehold,2025.0,2.0,1.0,570,319.0,1.310429,103.80282102340084,leedon park,bukit timah,1802500.0
10,condo,99-year leasehold,1985.0,2.0,2.0,1733,280.0,1.3221528,103.94522262523984,bedok south,bedok,2205000.0
11,condo,freehold,2023.0,2.0,1.0,646,237.0,1.32970335,103.90568292831622,kaki bukit,bedok,1365000.0
12,condo,freehold,2024.0,1.0,1.0,474,633.0,1.3393381,103.7638932,bukit batok south,bukit batok,1008000.0
13,condo,99-year leasehold,2004.0,3.0,3.0,1227,756.0,1.36432355,103.83166833259988,upper thomson,bishan,2079000.0
14,condo,99-year leasehold,2024.0,2.0,1.0,850,298.0,1.29988105,103.88811428633838,mountbatten,marine parade,2080000.0
15,hdb,99-year leasehold,1992.0,3.0,2.0,1119,129.0,1.3816301,103.7421019293336,peng siang,choa chu kang,554400.0
16,hdb,99-year leasehold,1981.0,3.0,2.0,980,375.360850381067,1.328739,103.84453365993072,balestier,novena,554400.0
17,condo,freehold,2009.0,2.0,1.0,517,46.0,1.3129331,103.85686967571708,lavender,kallang,800100.0
18,condo,99-year leasehold,2017.0,4.0,7.0,6200,510.0,1.277361,103.84933771170438,cecil,downtown core,19740000.0
19,hdb,99-year leasehold,1980.0,1.0,1.0,470,375.360850381067,1.3737939,103.84901393695192,cheng san,ang mo kio,309800.0
20,condo,99-year leasehold,2023.0,4.0,4.0,1496,1074.0,1.304855,103.77377633404797,dover,queenstown,2730000.0
21,terraced house,99-year leasehold,1996.0,5.0,5.0,2700,423.0,1.3642682,103.9675891,flora drive,pasir ris,2079000.0
22,hdb,99-year leasehold,1995.0,4.0,2.0,1625,375.360850381067,1.2943763,103.80448307932464,mei chin,queenstown,1134000.0
23,terraced house,freehold,2004.5925925925926,5.0,6.0,7829,375.360850381067,1.32201645,103.8364502631857,malcolm,novena,11025000.0
24,hdb executive,99-year leasehold,1996.0,3.0,2.0,1560,375.360850381067,1.3346024,103.90839720876184,kaki bukit,bedok,934500.0
25,apartment,99-year leasehold,2007.0,1.0,1.0,657,646.0,1.2946685,103.8500737,bras basah,museum,1365000.0
26,semi-detached house,freehold,2025.0,4.0,5.0,4716,6.0,1.30062,103.892783,mountbatten,marine parade,8059800.0
27,hdb,99-year leasehold,1985.0,2.0,2.0,721,32.0,1.35539535,103.95322139402808,tampines east,tampines,388500.0
28,apartment,freehold,2010.0,3.0,2.0,1561,32.0,1.30668715,103.83618134892708,cairnhill,newton,3832500.0
29,condo,99-year leasehold,2017.0,2.0,2.0,1098,510.0,1.277361,103.84933771170438,cecil,downtown core,2719500.0
30,apartment,freehold,2023.0,3.0,3.0,1130,58.0,1.3164313,103.8575321,lavender,kallang,2671200.0
