,num_beds,num_baths,size_sqft,total_num_units,lat,lng,price,mean_tenure_price,active_years,remaining_lease,planning_area_mean,total_rooms,size_per_room,mean_property_type,distance,num_shopping_malls,tenure_99-Year Leasehold,tenure_Freehold,tenure_Others,property_type_apartment,property_type_bungalow,property_type_cluster house,property_type_condo,property_type_conservation house,property_type_corner terrace,property_type_executive condo,property_type_good class bungalow,property_type_hdb,property_type_hdb executive,property_type_landed,property_type_semi-detached house,property_type_terraced house,property_type_townhouse,property_type_walk-up,furnishing_fully,furnishing_na,furnishing_partial,furnishing_unfurnished,furnishing_unspecified
0,3.0,2.0,1115,116.0,1.41439935,103.83719568172816,514500.0,1887101.9683996823,34.0,65.0,1148531.2775330397,5.0,223.0,662163.9668049793,0.5735669280056614,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,4.0,2.0,1575,-1.0,1.3725968000000002,103.87562460126242,995400.0,1887101.9683996823,30.0,69.0,3794226.376440461,6.0,262.5,662163.9668049793,1.7288950279847584,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,4.0,6.0,3070,56.0,1.2987726,103.895798,8485000.0,4723458.03669437,0.0,-1.0,3897221.5361445784,10.0,307.0,2939232.736224597,1.3152564309450319,5.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,3.0,2.0,958,638.0,1.3123637,103.80327091227252,2626000.0,4723458.03669437,-1.0,-1.0,5583573.20754717,5.0,191.6,2939232.736224597,0.7238853301692189,4.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,2.0,1.0,732,351.0,1.2739587,103.84363531310518,1764000.0,1887101.9683996823,-4.0,103.0,5017418.02507837,3.0,244.0,2939232.736224597,0.370021699633321,16.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,2.0,2.0,689,633.0,1.3393381,103.7638932,1702000.0,4723458.03669437,-2.0,-1.0,1603696.7741935484,4.0,172.25,2939232.736224597,1.3304479014905077,2.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,3.0,2.0,1076,407.0,1.31064045,103.85214926006608,2475900.0,1887101.9683996823,-4.0,103.0,2202377.590673575,5.0,215.2,2939232.736224597,0.40060816971559593,6.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,5.0,6.0,11500,-1.0,1.3423402,103.784489,15645000.0,3685375.426905456,15.0,-1.0,5583573.20754717,11.0,1045.4545454545455,17301457.16198126,0.7263574533891516,4.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1.0,1.0,700,32.0,1.3155347,103.825684432334,1312500.0,4723458.03669437,8.0,-1.0,4477531.718061674,2.0,350.0,2939232.736224597,0.5024255727745687,-1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,2.0,1.0,570,319.0,1.310429,103.80282102340084,1802500.0,4723458.03669437,-3.0,-1.0,5583573.20754717,3.0,190.0,2939232.736224597,0.7422298115143062,4.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
