,coord,dist_meters_to_nearest_mrt,nearest_mrt_code,nearest_mrt_line,dist_meters_to_nearest_mall,nearest_mall_index,dist_meters_to_nearest_commercial_centre,nearest_commercial_centre_index,dist_meters_to_nearest_primary_school,nearest_primary_school_index,dist_meters_to_nearest_secondary_school,nearest_secondary_school_index
0,"(1.41439935, 103.83719568172816)",573.5669280056615,ns14,ns,620.0661516479861,103,3342.136748341526,2,274.5279379207426,99,182.56245274090432,88
1,"(1.3725968000000002, 103.87562460126242)",1728.895027984736,ne13,ne,551.70555963158,113,2388.871679837986,31,122.8195313780328,130,290.3313706146948,15
2,"(1.2987726, 103.895798)",1315.2564309450318,cc8,cc,822.5178039025526,72,2159.421532564735,30,888.5099381298963,147,891.5309348460825,32
3,"(1.3123637, 103.80327091227252)",723.8853301692188,cc20,cc,907.8450805130888,19,1605.9488645092076,28,1086.1518444667238,97,1102.475584695672,100
4,"(1.2739587, 103.84363531310518)",370.02169963329885,ew15,ew,428.96095999455804,51,1864.412455507852,0,464.74420090012774,20,1542.6488541371082,89
5,"(1.3393381, 103.7638932)",1330.4479014903318,dt5,dt,1395.951388849762,125,2227.9522552561684,9,385.60652617542684,16,1480.025961399241,20
6,"(1.31064045, 103.85214926006608)",400.6081697155959,ne8,ne,414.0090620880431,30,1422.6624320899634,29,246.628133096285,50,1279.7497197982825,109
7,"(1.3423402, 103.784489)",726.3574533891074,dt6,dt,789.4805725769522,127,4013.8951327002114,28,1032.9593244128403,112,2363.356029772539,79
8,"(1.3155347, 103.825684432334)",502.42557277456865,dt10,dt,1070.0131710609646,36,2032.362953219542,29,1104.1850099452763,6,751.964955368894,114
9,"(1.310429, 103.80282102340084)",742.2298115144827,cc21,cc,840.9736569084381,19,1483.8785078493336,28,1222.1135400365936,100,883.2528985726543,100
10,"(1.3221528, 103.94522262523984)",570.617417231136,ew4,ew,1794.5584847373261,68,2638.9482940551984,7,528.3649148089715,152,341.7329145050858,12
11,"(1.32970335, 103.90568292831622)",658.9949411986344,dt28,dt,1742.1470525192149,81,1861.7658020350675,30,473.77345282997294,87,501.2047868674417,70
